Train_Loss,epoch,step
6.747025489807129,0,49
6.725975036621094,0,99
6.337717533111572,0,149
4.41366720199585,0,199
3.9221138954162598,0,249
3.567631721496582,0,299
3.6150736808776855,0,349
3.501291275024414,0,399
3.4983363151550293,0,449
3.7902286052703857,0,499
3.8552424907684326,0,549
3.359872579574585,0,599
3.714797258377075,0,649
3.8852195739746094,0,699
3.557680368423462,0,749
3.4645211696624756,0,799
3.4065427780151367,0,849
3.460549831390381,0,899
3.5920069217681885,0,949
3.5791983604431152,0,999
3.4036288261413574,0,1049
3.433969497680664,0,1099
3.694781541824341,0,1149
3.8554272651672363,0,1199
3.5465281009674072,0,1249
3.7929224967956543,0,1299
4.0809149742126465,0,1349
3.55865478515625,0,1399
3.558910846710205,0,1449
3.7226059436798096,0,1499
3.3816332817077637,0,1549
3.675626516342163,0,1599
3.321777820587158,0,1649
3.5159213542938232,0,1699
3.779029130935669,0,1749
3.5158531665802,0,1799
3.5314996242523193,0,1849
3.482117176055908,0,1899
3.6824796199798584,0,1949
3.8983750343322754,0,1999
3.2449653148651123,0,2049
3.5620930194854736,0,2099
3.5667762756347656,0,2149
3.7255806922912598,0,2199
3.7169113159179688,0,2249
3.6551406383514404,0,2299
3.539963483810425,0,2349
3.5788450241088867,0,2399
3.4524648189544678,0,2449
3.795058250427246,0,2499
3.797156810760498,0,2549
3.4283101558685303,0,2599
3.5111429691314697,0,2649
3.4233627319335938,0,2699
3.4039907455444336,0,2749
3.5144550800323486,0,2799
3.610690116882324,0,2849
3.550274133682251,0,2899
3.658010959625244,0,2949
3.437969207763672,0,2999
3.748466968536377,0,3049
3.6180052757263184,0,3099
3.4473843574523926,0,3149
3.761519432067871,0,3199
3.6934971809387207,0,3249
3.5211472511291504,0,3299
3.7573559284210205,0,3349
3.591569423675537,0,3399
3.4999983310699463,0,3449
3.5469956398010254,0,3499
3.748789072036743,0,3549
3.6316890716552734,0,3599
3.551208257675171,0,3649
3.710336685180664,0,3699
3.5098350048065186,0,3749
3.540771484375,0,3799
3.596259117126465,0,3849
3.728543281555176,0,3899
3.6469509601593018,0,3949
3.546523094177246,0,3999
3.7439064979553223,0,4049
3.4917149543762207,0,4099
3.750114917755127,0,4149
3.425614833831787,0,4199
3.497525215148926,0,4249
3.6270339488983154,0,4299
3.4554340839385986,0,4349
3.483696460723877,0,4399
3.5324647426605225,0,4449
